state,confirmed,deaths,lat,long
Alabama,85762,1565,32.318231,-86.902298
Alaska,2879,23,63.588753,-154.493062
Arizona,170798,3626,34.048928,-111.093731
Arkansas,41759,442,35.20105,-91.831833
California,492934,9026,36.778261,-119.417932
Colorado,46186,1822,39.550051,-105.782067
Connecticut,49670,4431,41.603221,-73.087749
Delaware,14689,581,38.910832,-75.52767
District of Columbia,12057,584,38.905985,-77.033418
Florida,461379,6586,27.664827,-81.515754
Georgia,182286,3671,32.157435,-82.907123
Hawaii,1989,26,19.898682,-155.665857
Idaho,20242,177,44.068202,-114.742041
Illinois,178135,7670,40.633125,-89.398528
Indiana,65253,2746,40.551217,-85.602364
Iowa,44285,865,41.878003,-93.097702
Kansas,26885,356,39.011902,-98.484246
Kentucky,29386,731,37.839333,-84.270018
Louisiana,114481,3925,31.244823,-92.145024
Maine,3888,122,45.253783,-69.445469
Maryland,87177,3472,39.045755,-76.641271
Massachusetts,117000,8579,42.407211,-71.382437
Michigan,85459,6369,44.314844,-85.602364
Minnesota,53692,1634,46.729553,-94.6859
Mississippi,57579,1611,32.354668,-89.398528
Missouri,43467,1206,37.964253,-91.831833
Montana,3814,55,46.879682,-110.362566
Nebraska,25766,328,41.492537,-99.901813
Nevada,46824,801,38.80261,-116.419389
New Hampshire,6544,415,43.193852,-71.572395
New Jersey,180970,15809,40.058324,-74.405661
New Mexico,20388,635,34.97273,-105.032363
New York,414370,32683,43.299428,-74.217933
North Carolina,120532,1922,35.759573,-79.0193
North Dakota,6301,103,47.551493,-101.002012
Ohio,89626,3442,40.417287,-82.907123
Oklahoma,35740,536,35.007752,-97.092877
Oregon,18131,316,43.804133,-120.554201
Pennsylvania,115807,7194,41.203322,-77.194525
Puerto Rico,16572,214,18.220833,-66.590149
Rhode Island,18950,1007,41.580095,-71.477429
South Carolina,87572,1667,33.836081,-81.163725
South Dakota,8685,129,43.969515,-99.901813
Tennessee,102871,1033,35.517491,-86.580447
Texas,428229,6274,31.968599,-99.901813
Utah,31596,244,39.32098,-111.093731
Vermont,1407,57,44.558803,-72.577841
Virginia,88904,2141,37.431573,-78.656894
Washington,55803,1564,47.751074,-120.740139
West Virginia,6375,112,38.597626,-80.454903
Wisconsin,52108,919,43.78444,-88.787868
Wyoming,2686,1,43.075968,-107.290284
